NATIONAL ADMINISTRATIVE REFERENCE  ///  LGA TO SENATORIAL DISTRICT MAPPING (2024 revision),Column 2,Column 3,Column 4,Column 5,Column 6,SUPERSEDED 2019 LIST. DO NOT USE.,Column 7
Agbzatu State,Oketsifa,,7,LGA081,,,
Agbzatu State,Umumayi,,6,LGA101,,,
Kukrima State,Agbjide,Kukrima Central,4,LGA005,,,
Kukrima State,Agbnumi,,3,LGA010,Created 2016,,
Kukrima State,Gwolama,,4,LGA041,,,
Kukrima State,Lokbaru,,4,LGA063,,,
Kukrima State,Tambemi,,5,LGA092,,,
Kukrima State,Wurmashi Local Govt Area,,6,LGA107,Boundary under review,,
Kukrima State,Yelkefa,,8,LGA109,,,
Kukrima State,Ekejisa-North Local Govt Area,Kukrima North,6,LGA034,,,
Kukrima State,Ibabani,,5,LGA047,Renamed 2019,,
Kukrima State,Irolufa,,7,LGA051,,,
Kukrima State,Katmaba,,3,LGA061,Boundary under review,,
Kukrima State,Maltsimi,,4,LGA071,Created 2016,,
Kukrima State,Riylude-North,,5,LGA086,,,
Kukrima State,Shajima,,5,LGA087,Renamed 2019,,
Kukrima State,Uzoluni,,6,LGA104,,,
Kukrima State,ADENAJA,Kukrima South,7,LGA004,,,
Kukrima State,Banluta,,4,LGA015,,,
Kukrima State,Daizade,,5,LGA027,Contested with adjoining district,,
Kukrima State,Enumade-West,,6,LGA035,,,
Kukrima State,Umumitu,,6,LGA102,,,
Kukrima State,Zamnuni-North,,3,LGA120,,,
Kukrima State,Zamtsiru,,3,LGA121,Renamed 2019,,
Supwasa State,Bautiru-West,Supwasa Central,5,LGA020,Contested with adjoining district,,
Supwasa State,Funkedu,,6,LGA038,,,
Supwasa State,Josmiba,,6,LGA058,Contested with adjoining district,,
Supwasa State,Katdudu,,5,LGA060,,,
Supwasa State,Okeyoru-South,,4,LGA082,Renamed 2019,,
Supwasa State,Zambani,,6,LGA115,Renamed 2019,,
Supwasa State,Adekeni,Supwasa North,6,LGA001,,,
Supwasa State,Ibangosa,,3,LGA050,,,
Supwasa State,Nasrifa,,7,LGA074,,,
Supwasa State,Wuryona,,4,LGA108,,,
Supwasa State,Yobmija,,6,LGA113,,,
Supwasa State,Baumiru,Supwasa South,4,LGA018,,,
Supwasa State,Ekedeta-East,,6,LGA032,,,
Supwasa State,Loknaba,,3,LGA065,,,
Supwasa State,Oluyofa,,6,LGA085,,,
Supwasa State,Tivmama,,8,LGA097,,,
Tivbetu State,Agblasa,Tivbetu Central,4,LGA007,,,
Tivbetu State,Daidefa,,5,LGA024,,,
Tivbetu State,Dutwano,,8,LGA030,Boundary under review,,
Tivbetu State,Ibajija-South,,5,LGA048,,,
Tivbetu State,Ironama,,6,LGA053,,,
Tivbetu State,Irongori,,6,LGA054,,,
Tivbetu State,Okerano-Central,,4,LGA080,Contested with adjoining district,,
Tivbetu State,Tivbani,,3,LGA096,,,
Tivbetu State,Agbtsiko,Tivbetu North,5,LGA012,,,
Tivbetu State,Agbzawa-South,,5,LGA013,Created 2016,,
Tivbetu State,Bandede-North,,3,LGA014,Contested with adjoining district,,
Tivbetu State,Bauzani,,5,LGA021,,,
Tivbetu State,Hansaba,,5,LGA045,,,
Tivbetu State,MALBAWO-CENTRAL,,4,LGA068,,,
Tivbetu State,Soktimi,,4,LGA089,,,
Tivbetu State,Tivsano-North,,9,LGA100,Renamed 2019,,
Tivbetu State,Uzoberi,,6,LGA103,,,
Tivbetu State,Adekowo,Tivbetu South,4,LGA002,Created 2016,,
Tivbetu State,Hanjiko Local Govt Area,,7,LGA042,Contested with adjoining district,,
Tivbetu State,Ibamide,,5,LGA049,Renamed 2019,,
Tivbetu State,Joskeru,,4,LGA057,Created 2016,,
Tivbetu State,Nasdudu-North,,5,LGA072,Created 2016,,
Tivbetu State,Olujiwa,,6,LGA084,,,
Tivbetu State,Tamlufa-East Local Govt Area,,5,LGA093,,,
Uzojina State,Adelaja-North,Uzojina Central,4,LGA003,Renamed 2019,,
Uzojina State,Daishali-Central,,6,LGA026,,,
Uzojina State,Dutkeni,,5,LGA029,,,
Uzojina State,Ekedewo,,5,LGA033,Renamed 2019,,
Uzojina State,Tamwata-South,,4,LGA095,,,
Uzojina State,Wurkota,,6,LGA106,,,
Uzojina State,Yeltsina Local Govt Area,,7,LGA111,,,
Uzojina State,Agbkotu-South,Uzojina North,4,LGA006,,,
Uzojina State,Dutjiri,,4,LGA028,,,
Uzojina State,Nassako-Central,,7,LGA075,,,
Uzojina State,Nasyotu,,4,LGA076,Contested with adjoining district,,
Uzojina State,Tamluni,,7,LGA094,,,
Uzojina State,Tivrafa West,,5,LGA099,Boundary under review,,
Uzojina State,Agbridu-West,Uzojina South,4,LGA011,,,
Uzojina State,Banluwo,,4,LGA016,,,
Uzojina State,Hansatu,,6,LGA046,Renamed 2019,,
Uzojina State,Loksayi,,5,LGA066,,,
Uzojina State,OLUBANI-SOUTH,,5,LGA083,Contested with adjoining district,,
Uzojina State,Tivngoba,,6,LGA098,,,
Uzojina State,Uzorisa Local Govt Area,,5,LGA105,,,
Uzojina State,Zamberi-North,,5,LGA116,Created 2016,,
Tivbetu State,Tivsano-North,Tivbetu Central,9,LGA100,"Transferred, see 2021 gazette",,
Agbkeko State,Daibewo,Agbkeko Central,5,LGA023,,,
Supwasa State,Ekedeta-East,Supwasa South,6,LGA032,,,
Supwasa State,,,,,,,
Supwasa State,,,,,,,
TOTAL,,,620,,,,
TOTAL,,,,,,,
Source: Gazette No. 118 of 2024. Ward counts as at 31 December 2023.,,,,,,,
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,,
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,,
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbkeko State,Daibama
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbkeko State,Daibewo
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbkeko State,Hanjile
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbkeko State,Yobrifa-West
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbkeko State,Zamjidu
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbkeko State,Jostile
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbkeko State,Lokshasa
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbkeko State,Maljiwo
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbkeko State,Ngenuta-Central
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbkeko State,Sokmiri
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbkeko State,Yeltili
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbkeko State,Enumija
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbkeko State,Gwodewo
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbkeko State,Nasnadu
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbkeko State,Ngemidu
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbkeko State,Zammiyi
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Dutzama
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Enutifa
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Iromashi
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Irosaja
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Katrini
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Lokmata
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Supsama-South
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Zamkeri
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Agbmita
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Gwodele-South
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Hanraja
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Josduri-South
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Malmaba
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Supyoshi-East
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Yobkosa-South
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Agbngoru
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Banngono
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Baungoshi
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Daishako
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Ngetija
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Oketsifa
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Agbzatu State,Umumayi
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Kukrima State,Agbjide
Note: two LGAs in the south east are subject to an ongoing boundary review.,,,,,,Kukrima State,Agbnumi
